dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type,foreign_table_schema,foreign_table_name,foreign_column_name
postgresql,mcms,public,_prisma_migrations,id,1,character varying,36,PRIMARY KEY,,,
postgresql,mcms,public,_prisma_migrations,checksum,2,character varying,64,,,,
postgresql,mcms,public,_prisma_migrations,finished_at,3,timestamp with time zone,,,,,
postgresql,mcms,public,_prisma_migrations,migration_name,4,character varying,255,,,,
postgresql,mcms,public,_prisma_migrations,logs,5,text,,,,,
postgresql,mcms,public,_prisma_migrations,rolled_back_at,6,timestamp with time zone,,,,,
postgresql,mcms,public,_prisma_migrations,started_at,7,timestamp with time zone,,,,,
postgresql,mcms,public,_prisma_migrations,applied_steps_count,8,integer,,,,,
postgresql,mcms,public,users,name,2,character varying,100,,,,
postgresql,mcms,public,users,email,3,character varying,255,,,,
postgresql,mcms,public,users,phone,4,character varying,20,,,,
postgresql,mcms,public,users,role,5,USER-DEFINED,,,,,
postgresql,mcms,public,users,avatar_url,6,text,,,,,
postgresql,mcms,public,users,permissions,7,ARRAY,,,,,
postgresql,mcms,public,users,password_hash,8,character varying,255,,,,
postgresql,mcms,public,users,last_login_ip,9,inet,,,,,
postgresql,mcms,public,users,updated_at,12,timestamp with time zone,,,,,
postgresql,mcms,public,users,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,users,is_locked,10,boolean,,,,,
postgresql,mcms,public,users,created_at,11,timestamp with time zone,,,,,
postgresql,mcms,public,projects,code,2,character varying,20,,,,
postgresql,mcms,public,projects,name,3,character varying,255,,,,
postgresql,mcms,public,projects,manager_id,4,integer,,FOREIGN KEY,public,users,id
postgresql,mcms,public,projects,contract_value,6,numeric,,,,,
postgresql,mcms,public,projects,budget_total,7,numeric,,,,,
postgresql,mcms,public,projects,start_date,9,date,,,,,
postgresql,mcms,public,projects,end_date,10,date,,,,,
postgresql,mcms,public,projects,updated_at,12,timestamp with time zone,,,,,
postgresql,mcms,public,projects,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,projects,budget_spent,8,numeric,,,,,
postgresql,mcms,public,projects,created_at,11,timestamp with time zone,,,,,
postgresql,mcms,public,tasks,project_id,2,integer,,FOREIGN KEY,public,projects,id
postgresql,mcms,public,tasks,name,3,character varying,255,,,,
postgresql,mcms,public,tasks,start_date,4,date,,,,,
postgresql,mcms,public,tasks,end_date,5,date,,,,,
postgresql,mcms,public,tasks,dependency_id,7,integer,,FOREIGN KEY,public,tasks,id
postgresql,mcms,public,tasks,status_class,8,character varying,50,,,,
postgresql,mcms,public,tasks,updated_at,10,timestamp with time zone,,,,,
postgresql,mcms,public,tasks,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,tasks,progress,6,smallint,,,,,
postgresql,mcms,public,tasks,created_at,9,timestamp with time zone,,,,,
postgresql,mcms,public,contracts,ref_code,2,character varying,30,,,,
postgresql,mcms,public,contracts,project_id,3,integer,,FOREIGN KEY,public,projects,id
postgresql,mcms,public,contracts,title,5,character varying,255,,,,
postgresql,mcms,public,contracts,value,6,numeric,,,,,
postgresql,mcms,public,contracts,start_date,7,date,,,,,
postgresql,mcms,public,contracts,end_date,8,date,,,,,
postgresql,mcms,public,contracts,document_url,10,text,,,,,
postgresql,mcms,public,contracts,updated_at,12,timestamp with time zone,,,,,
postgresql,mcms,public,contracts,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,contracts,status,9,USER-DEFINED,,,,,
postgresql,mcms,public,contracts,created_at,11,timestamp with time zone,,,,,
postgresql,mcms,public,milestones,contract_id,2,integer,,FOREIGN KEY,public,contracts,id
postgresql,mcms,public,milestones,ref_code,3,character varying,20,,,,
postgresql,mcms,public,milestones,description,4,character varying,255,,,,
postgresql,mcms,public,milestones,due_date,5,date,,,,,
postgresql,mcms,public,milestones,value,6,numeric,,,,,
postgresql,mcms,public,milestones,certificate_url,8,text,,,,,
postgresql,mcms,public,milestones,updated_at,10,timestamp with time zone,,,,,
postgresql,mcms,public,milestones,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,milestones,status,7,USER-DEFINED,,,,,
postgresql,mcms,public,milestones,created_at,9,timestamp with time zone,,,,,
postgresql,mcms,public,assets,asset_code,2,character varying,20,,,,
postgresql,mcms,public,assets,name,3,character varying,255,,,,
postgresql,mcms,public,assets,serial_number,4,character varying,100,,,,
postgresql,mcms,public,assets,category,5,character varying,50,,,,
postgresql,mcms,public,assets,model_year,6,smallint,,,,,
postgresql,mcms,public,assets,hours_or_km,7,integer,,,,,
postgresql,mcms,public,assets,fuel_level,9,smallint,,,,,
postgresql,mcms,public,assets,current_project_id,10,integer,,FOREIGN KEY,public,projects,id
postgresql,mcms,public,assets,estimated_value,12,numeric,,,,,
postgresql,mcms,public,assets,updated_at,14,timestamp with time zone,,,,,
postgresql,mcms,public,assets,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,assets,condition,8,USER-DEFINED,,,,,
postgresql,mcms,public,assets,status,11,USER-DEFINED,,,,,
postgresql,mcms,public,assets,created_at,13,timestamp with time zone,,,,,
postgresql,mcms,public,asset_logs,asset_id,2,integer,,FOREIGN KEY,public,assets,id
postgresql,mcms,public,asset_logs,user_id,3,integer,,FOREIGN KEY,public,users,id
postgresql,mcms,public,asset_logs,project_id,4,integer,,FOREIGN KEY,public,projects,id
postgresql,mcms,public,asset_logs,action,5,character varying,20,,,,
postgresql,mcms,public,asset_logs,fuel_level_at_action,6,smallint,,,,,
postgresql,mcms,public,asset_logs,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,asset_logs,timestamp,7,timestamp with time zone,,,,,
postgresql,mcms,public,requisitions,reviewed_by,11,integer,,FOREIGN KEY,public,users,id
postgresql,mcms,public,requisitions,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,requisitions,status,9,USER-DEFINED,,,,,
postgresql,mcms,public,requisitions,fraud_check,10,boolean,,,,,
postgresql,mcms,public,requisitions,req_code,2,character varying,50,,,,
postgresql,mcms,public,requisitions,total_amount,7,numeric,,,,,
postgresql,mcms,public,requisitions,reviewed_at,12,timestamp without time zone,,,,,
postgresql,mcms,public,requisition_items,requisition_id,2,integer,,FOREIGN KEY,public,requisitions,id
postgresql,mcms,public,requisition_items,item_name,3,character varying,255,,,,
postgresql,mcms,public,requisition_items,quantity,4,integer,,,,,
postgresql,mcms,public,requisition_items,unit_price,5,numeric,,,,,
postgresql,mcms,public,requisition_items,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,transactions,entry_code,2,character varying,20,,,,
postgresql,mcms,public,transactions,requisition_id,3,integer,,FOREIGN KEY,public,requisitions,id
postgresql,mcms,public,transactions,project_id,4,integer,,FOREIGN KEY,public,projects,id
postgresql,mcms,public,transactions,account_code,5,character varying,20,,,,
postgresql,mcms,public,transactions,description,6,text,,,,,
postgresql,mcms,public,transactions,created_by,9,integer,,FOREIGN KEY,public,users,id
postgresql,mcms,public,transactions,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,transactions,debit,7,numeric,,,,,
postgresql,mcms,public,transactions,credit,8,numeric,,,,,
postgresql,mcms,public,transactions,created_at,10,timestamp with time zone,,,,,
postgresql,mcms,public,daily_logs,project_id,2,integer,,FOREIGN KEY,public,projects,id
postgresql,mcms,public,daily_logs,submitted_by,3,integer,,FOREIGN KEY,public,users,id
postgresql,mcms,public,daily_logs,log_date,4,date,,,,,
postgresql,mcms,public,daily_logs,headcount,5,integer,,,,,
postgresql,mcms,public,daily_logs,weather,6,character varying,50,,,,
postgresql,mcms,public,daily_logs,narrative,7,text,,,,,
postgresql,mcms,public,daily_logs,expense_amount,8,numeric,,,,,
postgresql,mcms,public,daily_logs,expense_category,9,character varying,50,,,,
postgresql,mcms,public,daily_logs,expense_reason,10,text,,,,,
postgresql,mcms,public,daily_logs,photos,11,jsonb,,,,,
postgresql,mcms,public,daily_logs,pm_approved_at,14,timestamp with time zone,,,,,
postgresql,mcms,public,daily_logs,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,daily_logs,is_sos,12,boolean,,,,,
postgresql,mcms,public,daily_logs,pm_approved,13,boolean,,,,,
postgresql,mcms,public,daily_logs,created_at,15,timestamp with time zone,,,,,
postgresql,mcms,public,safety_incidents,project_id,2,integer,,FOREIGN KEY,public,projects,id
postgresql,mcms,public,safety_incidents,reported_by,3,integer,,FOREIGN KEY,public,users,id
postgresql,mcms,public,safety_incidents,incident_type,4,character varying,50,,,,
postgresql,mcms,public,safety_incidents,site_area,5,character varying,100,,,,
postgresql,mcms,public,safety_incidents,persons_involved,6,text,,,,,
postgresql,mcms,public,safety_incidents,description,7,text,,,,,
postgresql,mcms,public,safety_incidents,photo_url,8,text,,,,,
postgresql,mcms,public,safety_incidents,resolved_at,10,timestamp with time zone,,,,,
postgresql,mcms,public,safety_incidents,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,safety_incidents,status,9,character varying,20,,,,
postgresql,mcms,public,safety_incidents,created_at,11,timestamp with time zone,,,,,
postgresql,mcms,public,audit_logs,user_id,2,integer,,FOREIGN KEY,public,users,id
postgresql,mcms,public,audit_logs,user_name,3,character varying,100,,,,
postgresql,mcms,public,audit_logs,user_role,4,character varying,50,,,,
postgresql,mcms,public,audit_logs,action,5,character varying,50,,,,
postgresql,mcms,public,audit_logs,target_type,6,character varying,50,,,,
postgresql,mcms,public,audit_logs,target_id,7,integer,,,,,
postgresql,mcms,public,audit_logs,target_code,8,character varying,50,,,,
postgresql,mcms,public,audit_logs,ip_address,9,inet,,,,,
postgresql,mcms,public,audit_logs,details,10,jsonb,,,,,
postgresql,mcms,public,audit_logs,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,audit_logs,timestamp,11,timestamp with time zone,,,,,
postgresql,mcms,public,procurement_requests,req_code,2,character varying,20,,,,
postgresql,mcms,public,procurement_requests,vehicle_name,3,character varying,255,,,,
postgresql,mcms,public,procurement_requests,estimated_cost,4,numeric,,,,,
postgresql,mcms,public,procurement_requests,justification,5,text,,,,,
